	word	A	E	C	N	O	nnon
102	Vigorous	0.04	0.4	0.05	-0.15	0.12	
103	Friendly	0.37	0.39	-0.03	-0.17	-0.16	
104	Hamboyant	-0.04	0.39	-0.1	0.08	0.01	
105	Adventurous	0.0	0.38	-0.04	-0.19	0.1	
106	Expressive	0.12	0.38	0.06	0.14	0.22	
107	Forceful	-0.34	0.38	0.15	-0.01	0.11	
108	Carefree	0.18	0.37	-0.22	-0.22	-0.12	
109	Flirtatious	0.03	0.36	-0.15	0.2	0.0	
110	Competitive	-0.25	0.34	0.19	-0.03	-0.11	
111	Mischievous	-0.1	0.34	-0.19	0.02	0.14	
112	Direct	-0.07	0.33	0.14	-0.13	0.22	
113	Spontaneous	0.09	0.33	-0.11	-0.04	0.25	
114	Zealous	0.2	0.32	-0.03	0.0	0.08	
115	Gregarious	0.07	0.32	-0.1	0.03	0.07	
116	Exhibitionistic	-0.2	0.32	-0.17	0.06	0.05	
117	Straightforward	-0.02	0.31	0.1	-0.19	0.19	
118	Humorous	0.15	0.31	-0.09	-0.13	0.01	
119	Frank	-0.08	0.31	0.02	-0.09	0.22	
120	Opportunistic	-0.09	0.3	0.16	-0.04	0.01	
121	Demonstrative	0.03	0.29	-0.07	0.01	0.15	
122	Enterprising	-0.04	0.28	0.21	-0.19	0.27	
123	Sexy	0.06	0.28	-0.01	0.07	0.17	
124	Hearty	0.11	0.28	0.07	-0.24	0.02	
125	Wordy	0.0	0.26	-0.09	0.17	0.04	
126	Explosive	-0.25	0.25	-0.1	0.21	-0.04	
127	Witty	-0.01	0.24	-0.03	-0.15	0.21	
128	Persistent	-0.1	0.23	0.2	-0.01	0.12	
129	Proud	-0.09	0.2	0.16	0.01	0.07	
130	Impetuous	-0.04	0.17	-0.17	0.12	0.06	
131	Intrusive	-0.13	0.16	-0.05	0.03	-0.14	
132	Withdrawn	-0.05	-0.67	-0.04	0.02	0.08	
133	Silent	0.07	-0.66	0.08	-0.08	-0.02	
134	Introverted	0.02	-0.65	0.01	0.03	0.1	
135	Shy	0.18	-0.65	0.06	0.03	-0.01	
136	Quiet	0.15	-0.64	0.15	-0.09	0.12	
137	Reserved	0.09	-0.6	0.22	-0.06	0.02	
138	Timid	0.3	-0.6	-0.01	0.08	-0.11	
139	Bashful	0.22	-0.59	0.05	0.03	-0.02	
140	Unsociable	-0.17	-0.39	0.02	-0.04	0.16	
141	Unaggressive	0.35	-0.37	-0.14	-0.07	0.06	
142	Inhibited	0.09	-0.54	-0.02	0.15	-0.06	
143	Uncommunicative	-0.18	-0.32	-0.07	-0.08	-0.01	
144	Passive	0.22	-0.48	-0.06	-0.03	-0.19	
145	Meek	0.22	-0.48	-0.08	0.02	-0.22	
146	Restrained	0.12	-0.47	0.2	-0.1	0.03	
147	Dull	-0.03	-0.46	-0.05	-0.02	-0.05	
148	Bland	-0.02	-0.44	0.07	-0.09	-0.19	
149	Sedate	0.07	-0.41	0.06	-0.11	-0.1	
150	Somber	-0.09	-0.41	0.12	-0.03	-0.14	
151	Melancholic	0.0	-0.4	-0.04	0.2	-0.09	
152	Unfriendly	-0.28	-0.4	-0.03	-0.01	0.15	
153	Unadventurous	0.1	-0.38	0.01	0.08	-0.08	
154	Detached	-0.18	-0.37	-0.08	-0.12	0.07	
155	Uncompetitive	0.29	-0.37	-0.18	-0.07	0.14	
156	Submissive	0.34	-0.36	-0.09	0.11	-0.23	
157	Cowardly	0.25	-0.36	-0.15	0.26	-0.05	
158	Indirect	0.11	-0.35	-0.14	0.06	0.01	
159	Pessimistic	-0.14	-0.35	-0.07	0.24	0.02	
160	Negativistic	-0.31	-0.34	-0.08	0.31	-0.03	
161	Placid	0.12	-0.34	0.1	-0.2	-0.04	
162	Sluggish	-0.04	-0.33	-0.19	0.09	-0.11	
163	Nonpcrsistcnt	0.16	-0.33	-0.23	-0.14	-0.04	
164	Serious	0.03	-0.31	0.31	0.04	0.17	
165	Aloof	-0.2	-0.3	-0.03	0.03	0.06	
166	Vague	0.03	-0.28	-0.28	0.11	-0.07	
167	Docile	0.24	-0.28	0.05	-0.04	-0.19	
168	Secretive	-0.07	-0.28	0.02	0.11	-0.04	
169	Unimaginative	0.05	-0.25	0.0	-0.07	-0.22	
170	Wary	-0.06	-0.25	0.07	0.09	0.18	
171	Lethargic	-0.07	-0.25	-0.19	0.04	-0.16	
172	Unaffecti onate	-0.15	-0.25	0.0	-0.22	0.13	
173	Prudish	0.13	-0.24	0.15	0.12	-0.17	
174	Apathetic	-0.08	-0.23	-0.04	-0.01	-0.18	
175	Humorless	-0.06	-0.23	0.13	-0.1	-0.06	
176	Impartial	0.08	-0.23	0.08	-0.17	0.12	
177	Organized	0.08	-0.06	0.65	0.08	-0.02	
178	Precise	-0.02	-0.01	0.61	-0.01	0.12	
179	Responsible	0.28	-0.02	0.39	-0.06	0.08	
180	Thorough	0.04	0.0	0.38	-0.11	0.13	
181	Efficient	0.09	0.01	0.37	0.0	0.07	
182	Orderly	0.08	-0.06	0.37	0.11	-0.06	
183	Self-disciplined	0.12	0.01	0.35	-0.16	0.09	
184	Practical	0.14	-0.08	0.34	-0.16	0.04	
185	Systematic	0.05	-0.12	0.34	-0.04	0.08	
186	Dependable	0.31	-0.05	0.31	-0.06	-0.01	
187	Reliable	0.33	-0.02	0.49	-0.07	0.03	
188	Exacting	-0.08	-0.02	0.47	0.02	0.1	
189	Concise	0.05	0.0	0.46	-0.13	0.13	
190	Careful	0.19	-0.22	0.46	0.01	0.01	
191	Prompt	0.16	-0.03	0.46	0.05	-0.03	
192	Logical	-0.03	-0.04	0.46	-0.22	0.27	
193	Consistent	0.05	-0.03	0.45	-0.34	-0.07	
194	Steady	0.17	-0.01	0.44	-0.33	0.06	
195	Meticulous	0.01	-0.11	0.44	0.09	0.04	
196	Decisive	-0.03	0.18	0.43	-0.22	0.15	
197	Punctual	0.14	-0.08	0.4	0.04	0.03	
198	Firm	-0.17	0.17	0.4	-0.15	0.08	
199	Economical	0.14	-0.13	0.39	-0.14	0.01	
200	Cautious	0.14	-0.32	0.39	0.12	-0.03	
201	Strict	-0.14	-0.04	0.38	0.12	-0.11	
202	Purposeful	0.11	0.15	0.38	-0.1	0.19	
203	Dignified	0.06	0.07	0.38	0.0	0.04	
204	Formal	0.07	-0.09	0.37	0.14	-0.14	
205	Perfectionistic	-0.07	-0.07	0.37	0.16	0.13	
206	Mature	0.2	-0.01	0.37	-0.21	0.2	
207	Industrious	0.07	0.12	0.36	-0.14	0.25	
208	Stern	-0.29	0.02	0.36	0.01	-0.15	
209	Controlled	0.11	-0.17	0.36	-0.22	-0.02	
210	Alert	0.11	0.16	0.36	-0.09	0.2	
211	Rational	0.13	-0.08	0.35	-0.24	0.32	
212	Thrifty	0.12	-0.14	0.34	-0.12	-0.03	
213	Ambitious	0.04	0.28	0.34	0.03	0.11	
214	Conservative	0.09	-0.2	0.32	0.0	-0.28	
215	Wise	0.07	0.08	0.3	-0.21	0.28	
216	Sophisticated	0.14	0.13	0.3	0.07	0.18	
217	Foresighted	0.12	-0.02	0.29	-0.11	0.27	
218	Deliberate	-0.08	0.0	0.28	-0.09	0.12	
219	Refined	0.25	-0.05	0.27	0.07	0.15	
220	Principled	0.2	-0.08	0.27	-0.1	0.15	
221	Cultured	0.21	0.05	0.27	0.06	0.18	
222	Objective	0.15	-0.04	0.27	-0.16	0.22	
223	Moralistic	0.23	-0.11	0.26	0.07	-0.23	
224	Discreet	0.24	-0.26	0.26	-0.09	0.18	
225	Poised	0.18	0.13	0.26	-0.11	0.12	
226	Disorganized	0.01	0.01	-0.64	-0.06	0.07	
227	Haphazard	-0.1	0.04	-0.57	0.0	-0.09	
228	Disorderly	-0.08	0.05	-0.57	-0.13	0.05	
229	Careless	-0.09	0.06	-0.37	-0.01	-0.04	
230	Inefficient	0.01	-0.16	-0.34	-0.04	0.06	
231	Impractical	-0.06	-0.02	-0.33	0.11	-0.01	
232	Unreliable	-0.18	0.02	-0.31	-0.01	0.01	
233	Inconsistent	-0.06	-0.05	-0.31	0.22	0.06	
234	Absent-minded	0.02	-0.1	-0.3	0.05	0.09	
235	Scatterbrained	0.13	0.01	-0.47	0.15	-0.01	
236	Illogical	0.07	0.0	-0.46	0.14	-0.14	
237	Sloppy	-0.1	-0.01	-0.46	-0.17	0.08	
238	Undependable	-0.13	0.0	-0.45	-0.04	0.1	
239	Immature	-0.05	0.0	-0.44	0.16	-0.09	
240	Erratic	-0.13	-0.01	-0.43	0.19	0.12	
241	Negligent	-0.16	-0.07	-0.43	0.03	-0.12	
242	Reckless	-0.21	0.18	-0.43	-0.03	0.07	
243	Indecisive	0.12	-0.27	-0.41	0.2	-0.09	
244	Forgetful	0.02	-0.06	-0.4	0.08	0.02	
245	Lazy	-0.02	-0.24	-0.4	0.1	-0.02	
246	Unstable	0.0	-0.2	-0.39	0.28	0.05	
247	Aimless	-0.07	-0.21	-0.38	-0.16	-0.05	
248	Foolhardy	-0.02	0.14	-0.38	0.0	-0.18	
249	Impulsive	0.06	0.26	-0.37	0.21	0.06	
250	Lax	0.02	-0.09	-0.36	-0.08	-0.09	
251	Wishy-washy	0.07	-0.26	-0.33	0.14	-0.06	
252	Wasteful	-0.06	0.06	-0.32	0.09	-0.03	
253	Unambitious	0.06	-0.27	-0.3	-0.09	-0.03	
254	Frivolous	0.07	0.09	-0.3	0.21	-0.04	
255	Rash	-0.18	0.11	-0.29	0.12	-0.04	
256	Unsophisticated	0.03	-0.17	-0.25	-0.22	-0.1	
257	Dishonest	-0.2	0.01	-0.25	0.05	0.05	
258	Unobservant	0.04	-0.12	-0.24	-0.12	-0.23	
259	Indiscreet	-0.11	0.14	-0.21	-0.03	-0.16	
260	Lustful	-0.16	0.07	-0.2	0.12	0.11	
261	Indulgent	0.04	0.11	-0.18	0.1	0.09	
262	Transparent	0.08	-0.03	-0.13	0.1	-0.12	
263	Moody	-0.13	-0.17	-0.07	0.53	0.04	
264	Touchy	-0.06	-0.15	0.01	0.51	-0.14	
265	Temperamental	-0.2	-0.05	-0.05	0.51	0.01	
266	Irritable	-0.27	-0.11	-0.01	0.49	-0.03	
267	Emotional	0.38	0.12	-0.09	0.49	-0.02	
